"","pay","algorithm","sdev","n","s","rep"
"260",97.0221413524814,2,"0.5",10,10,13
"261",195.000670940486,3,"0.5",10,10,13
"262",42.4097057795396,1,"1",10,10,13
"263",135.639811612587,2,"1",10,10,13
"264",135.236917895824,3,"1",10,10,13
"265",88.6085109332227,1,"2",10,10,13
"266",187.818950912571,2,"2",10,10,13
"267",178.613682713743,3,"2",10,10,13
"268",187.016285934162,1,"5",10,10,13
"269",243.96240668924,2,"5",10,10,13
"270",232.208354725351,3,"5",10,10,13
"271",285.782459290311,1,"10",10,10,13
"272",288.799324736091,2,"10",10,10,13
"273",241.217221837037,3,"10",10,10,13
"274",68,1,"0.05",10,10,14
"275",97,2,"0.05",10,10,14
"276",156,3,"0.05",10,10,14
"277",35,1,"0.1",10,10,14
"278",73,2,"0.1",10,10,14
"279",156,3,"0.1",10,10,14
"280",68.0060387258277,1,"0.5",10,10,14
"281",86.5413411329465,2,"0.5",10,10,14
"282",116,3,"0.5",10,10,14
"283",52.4978345059897,1,"1",10,10,14
"284",137.031023541034,2,"1",10,10,14
"285",156,3,"1",10,10,14
"286",56.6900795649991,1,"2",10,10,14
"287",155.244795570583,2,"2",10,10,14
"288",156,3,"2",10,10,14
"289",118.61862554079,1,"5",10,10,14
"290",154.013797809581,2,"5",10,10,14
"291",157.565154997826,3,"5",10,10,14
"292",162.535580647983,1,"10",10,10,14
"293",164.843124157399,2,"10",10,10,14
"294",158.525944436979,3,"10",10,10,14
"295",3,1,"0.05",10,10,15
"296",130,2,"0.05",10,10,15
"297",222,3,"0.05",10,10,15
"298",19,1,"0.1",10,10,15
"299",14,2,"0.1",10,10,15
"300",224,3,"0.1",10,10,15
"301",4.52396540134889,1,"0.5",10,10,15
"302",39.5566084818985,2,"0.5",10,10,15
"303",199.000000112535,3,"0.5",10,10,15
"304",20.1643956197395,1,"1",10,10,15
"305",145.255513509871,2,"1",10,10,15
"306",193.011108996561,3,"1",10,10,15
"307",115.790816740197,1,"2",10,10,15
"308",185.08406351058,2,"2",10,10,15
"309",208.005199394179,3,"2",10,10,15
"310",209.953141668224,1,"5",10,10,15
"311",241.109111732211,2,"5",10,10,15
"312",241.090115590894,3,"5",10,10,15
"313",265.324904226592,1,"10",10,10,15
"314",272.375786996434,2,"10",10,10,15
"315",234.423386805061,3,"10",10,10,15
"316",40,1,"0.05",10,10,16
"317",83,2,"0.05",10,10,16
"318",67,3,"0.05",10,10,16
"319",51,1,"0.1",10,10,16
"320",51,2,"0.1",10,10,16
"321",86,3,"0.1",10,10,16
"322",42.3012446142766,1,"0.5",10,10,16
"323",40.2726677690535,2,"0.5",10,10,16
"324",55.0000005330493,3,"0.5",10,10,16
"325",48.4099079388547,1,"1",10,10,16
"326",41.0001778711031,2,"1",10,10,16
"327",93.0000086911933,3,"1",10,10,16
"328",100.424690402739,1,"2",10,10,16
"329",85.573126319001,2,"2",10,10,16
"330",88.8610960035897,3,"2",10,10,16
"331",136.022557106562,1,"5",10,10,16
"332",129.481431970109,2,"5",10,10,16
"333",101.815130377415,3,"5",10,10,16
"334",151.034450039748,1,"10",10,10,16
"335",162.373378286996,2,"10",10,10,16
"336",130.224201773174,3,"10",10,10,16
"337",14,1,"0.05",10,10,17
"338",17,2,"0.05",10,10,17
"339",26,3,"0.05",10,10,17
"340",14,1,"0.1",10,10,17
"341",14,2,"0.1",10,10,17
"342",13,3,"0.1",10,10,17
"343",14.4076405835001,1,"0.5",10,10,17
"344",16.3190163706971,2,"0.5",10,10,17
"345",54,3,"0.5",10,10,17
"346",14.0543116786509,1,"1",10,10,17
"347",17.8847018917291,2,"1",10,10,17
"348",51.9968438036974,3,"1",10,10,17
"349",45.559196027782,1,"2",10,10,17
"350",62.486227707382,2,"2",10,10,17
"351",53.4964644749706,3,"2",10,10,17
"352",84.4402150819326,1,"5",10,10,17
"353",102.116227150161,2,"5",10,10,17
"354",72.8879482396115,3,"5",10,10,17
"355",123.696546766188,1,"10",10,10,17
"356",124.756586771217,2,"10",10,10,17
"357",70.7083567438767,3,"10",10,10,17
"358",37,1,"0.05",10,10,18
"359",37,2,"0.05",10,10,18
"360",143,3,"0.05",10,10,18
"361",40,1,"0.1",10,10,18
"362",74,2,"0.1",10,10,18
"363",71,3,"0.1",10,10,18
"364",37.9473474884481,1,"0.5",10,10,18
"365",46.8174033598005,2,"0.5",10,10,18
"366",107.00000001523,3,"0.5",10,10,18
"367",54.1766397126095,1,"1",10,10,18
"368",82.1519606337163,2,"1",10,10,18
"369",71.0000007789949,3,"1",10,10,18
"370",39.1111628898695,1,"2",10,10,18
"371",47.773622198902,2,"2",10,10,18
"372",143.339789884702,3,"2",10,10,18
"373",129.470044377051,1,"5",10,10,18
"374",155.949670680948,2,"5",10,10,18
"375",102.151944811309,3,"5",10,10,18
"376",182.748774745874,1,"10",10,10,18
"377",193.328535335719,2,"10",10,10,18
"378",166.908007638896,3,"10",10,10,18
"379",22,1,"0.05",10,10,19
"380",20,2,"0.05",10,10,19
"381",47,3,"0.05",10,10,19
"382",22,1,"0.1",10,10,19
"383",21,2,"0.1",10,10,19
"384",47,3,"0.1",10,10,19
"385",20.8123748988884,1,"0.5",10,10,19
"386",25.8120116994197,2,"0.5",10,10,19
"387",44.8120123746307,3,"0.5",10,10,19
"388",20.513070483463,1,"1",10,10,19
"389",28.6392628932035,2,"1",10,10,19
"390",47.6391839582758,3,"1",10,10,19
"391",33.4168779228095,1,"2",10,10,19
"392",44.1668828083265,2,"2",10,10,19
"393",38.3044617159051,3,"2",10,10,19
"394",55.5713446276634,1,"5",10,10,19
"395",65.5619306280002,2,"5",10,10,19
"396",68.0250207010987,3,"5",10,10,19
"397",82.1256642989489,1,"10",10,10,19
"398",86.2732488156906,2,"10",10,10,19
"399",70.9811977408318,3,"10",10,10,19
"400",26,1,"0.05",10,10,20
"401",109,2,"0.05",10,10,20
"402",91,3,"0.05",10,10,20
"403",25,1,"0.1",10,10,20
"404",36,2,"0.1",10,10,20
"405",26,3,"0.1",10,10,20
"406",25.0026837010232,1,"0.5",10,10,20
"407",91.0000000000002,2,"0.5",10,10,20
"408",92.4060058497098,3,"0.5",10,10,20
"409",37.0200091634002,1,"1",10,10,20
"410",49.4421749700105,2,"1",10,10,20
"411",103.000136199789,3,"1",10,10,20
"412",71.1573078768049,1,"2",10,10,20
"413",112.353951235268,2,"2",10,10,20
"414",119.840702564828,3,"2",10,10,20
"415",123.321328321559,1,"5",10,10,20
"416",137.96216572,2,"5",10,10,20
"417",49.1740584692633,3,"5",10,10,20
"418",162.247169796844,1,"10",10,10,20
"419",163.737413187476,2,"10",10,10,20
"420",153.826614757777,3,"10",10,10,20
"421",13,1,"0.05",10,10,21
"422",72,2,"0.05",10,10,21
"423",77,3,"0.05",10,10,21
"424",13,1,"0.1",10,10,21
"425",73,2,"0.1",10,10,21
"426",121,3,"0.1",10,10,21
"427",13.1361524819877,1,"0.5",10,10,21
"428",86.0000000000256,2,"0.5",10,10,21
"429",106.270670566473,3,"0.5",10,10,21
"430",13.7407554820814,1,"1",10,10,21
"431",72.0000974294433,2,"1",10,10,21
"432",110,3,"1",10,10,21
"433",36.9683786602784,1,"2",10,10,21
"434",87.0253698837069,2,"2",10,10,21
"435",128.493173794015,3,"2",10,10,21
"436",82.0676535156091,1,"5",10,10,21
"437",121.90278336549,2,"5",10,10,21
"438",138.457616376303,3,"5",10,10,21
"439",121.323043030655,1,"10",10,10,21
"440",149.742734162885,2,"10",10,10,21
"441",114.937466218262,3,"10",10,10,21
"442",38,1,"0.05",10,10,22
"443",97,2,"0.05",10,10,22
"444",133,3,"0.05",10,10,22
"445",38,1,"0.1",10,10,22
"446",75,2,"0.1",10,10,22
"447",96,3,"0.1",10,10,22
"448",34.000000000281,1,"0.5",10,10,22
"449",61.6541888471778,2,"0.5",10,10,22
"450",90.0090575366433,3,"0.5",10,10,22
"451",30.2841191014866,1,"1",10,10,22
"452",80.9524558398427,2,"1",10,10,22
"453",132.033330716268,3,"1",10,10,22
"454",49.0080788384193,1,"2",10,10,22
"455",115.970857297774,2,"2",10,10,22
"456",140.27541188706,3,"2",10,10,22
"457",180.923684157339,1,"5",10,10,22
