"","pay","algorithm","sdev","n","s","rep"
"280",101.732715091632,5,"10",5,5,8
"281",76,1,"0.05",5,5,9
"282",78,2,"0.05",5,5,9
"283",78,3,"0.05",5,5,9
"284",78,4,"0.05",5,5,9
"285",78,5,"0.05",5,5,9
"286",76,1,"0.1",5,5,9
"287",78,2,"0.1",5,5,9
"288",78,3,"0.1",5,5,9
"289",78,4,"0.1",5,5,9
"290",78,5,"0.1",5,5,9
"291",77.3533528323661,1,"0.5",5,5,9
"292",78.2706705664732,2,"0.5",5,5,9
"293",78.2706705664732,3,"0.5",5,5,9
"294",78.2706705664732,4,"0.5",5,5,9
"295",78.2706705664732,5,"0.5",5,5,9
"296",82.0653065971263,1,"1",5,5,9
"297",82.0653065971263,2,"1",5,5,9
"298",82.0653065971263,3,"1",5,5,9
"299",82.0653065971263,4,"1",5,5,9
"300",82.0653065971263,5,"1",5,5,9
"301",84.824969025846,1,"2",5,5,9
"302",84.824969025846,2,"2",5,5,9
"303",84.824969025846,3,"2",5,5,9
"304",84.824969025846,4,"2",5,5,9
"305",84.824969025846,5,"2",5,5,9
"306",87.0690180812852,1,"5",5,5,9
"307",87.0690180812852,2,"5",5,5,9
"308",87.0690180812852,3,"5",5,5,9
"309",87.0690180812852,4,"5",5,5,9
"310",87.0690180812852,5,"5",5,5,9
"311",88.4970449020898,1,"10",5,5,9
"312",88.4970449020898,2,"10",5,5,9
"313",88.4970449020898,3,"10",5,5,9
"314",88.4970449020898,4,"10",5,5,9
"315",88.4970449020898,5,"10",5,5,9
"316",35,1,"0.05",5,5,10
"317",33,2,"0.05",5,5,10
"318",36,3,"0.05",5,5,10
"319",37,4,"0.05",5,5,10
"320",37,5,"0.05",5,5,10
"321",35,1,"0.1",5,5,10
"322",33,2,"0.1",5,5,10
"323",36,3,"0.1",5,5,10
"324",37,4,"0.1",5,5,10
"325",37,5,"0.1",5,5,10
"326",35.6766764161831,1,"0.5",5,5,10
"327",33.0020127757674,2,"0.5",5,5,10
"328",36.0003354626279,3,"0.5",5,5,10
"329",37,4,"0.5",5,5,10
"330",37,5,"0.5",5,5,10
"331",35.7093297147462,1,"1",5,5,10
"332",34.1319605763558,2,"1",5,5,10
"333",37.1679885817998,3,"1",5,5,10
"334",38.0326532985632,4,"1",5,5,10
"335",38.0326532985632,5,"1",5,5,10
"336",39.4451378114861,1,"2",5,5,10
"337",39.4203745377498,2,"2",5,5,10
"338",39.6991591789526,3,"2",5,5,10
"339",40.3549566361843,4,"2",5,5,10
"340",40.3549566361843,5,"2",5,5,10
"341",43.737181687216,1,"5",5,5,10
"342",43.7542040214555,2,"5",5,5,10
"343",43.7542040214555,3,"5",5,5,10
"344",43.7542040214555,4,"5",5,5,10
"345",43.7542040214555,5,"5",5,5,10
"346",46.6510535820267,1,"10",5,5,10
"347",46.6510535820267,2,"10",5,5,10
"348",46.6510535820267,3,"10",5,5,10
"349",46.6510535820267,4,"10",5,5,10
"350",46.6510535820267,5,"10",5,5,10
"351",21,1,"0.05",5,5,11
"352",48,2,"0.05",5,5,11
"353",48,3,"0.05",5,5,11
"354",48,4,"0.05",5,5,11
"355",48,5,"0.05",5,5,11
